Occupation_sleep,Corresponding Occupation_job
Accountant,Accountants and Auditors
Doctor,"Anesthesiologists, Cardiologists, Chiropractors, Dentists, Dentists, All Other Specialists, Dentists, General, Dermatologists, Emergency Medicine Physicians, Exercise Physiologists, Exercise Physiologists, Neurologists, Obstetricians and Gynecologists, Ophthalmologists, Except Pediatric, Optometrists, Orthodontists, Orthopedic Surgeons, Except Pediatric, Orthotists and Prosthetists, Pediatric Surgeons, Pediatricians, General, Pharmacists, Physicians, Physicians, All Other, Physicians, Pathologists, Psychiatrists, Psychologists, Psychologists, All Other, Radiologists, Surgeons, Surgeons, All Other, Veterinarians"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Engineer,Aerospace Engineering and Operations Technologists and Technicians
,Aerospace Engineers
,Agricultural Engineers
,Aircraft Pilots and Flight Engineers
,"Airline Pilots, Copilots, and Flight Engineers"
,Architectural and Engineering Managers
,Architecture and Engineering Occupations
,Bioengineers and Biomedical Engineers
,Chemical Engineers
,Civil Engineering Technologists and Technicians
,Civil Engineers
,Computer Hardware Engineers
,"Drafters, Engineering Technicians, and Mapping Technicians"
,Electrical and Electronic Engineering Technologists and Technicians
,Electrical and Electronics Engineers
,Electrical Engineers
,"Electronics Engineers, Except Computer"
,"Engineering and Architecture Teachers, Postsecondary"
,"Engineering Teachers, Postsecondary"
,"Engineering Technologists and Technicians, Except Drafters"
,"Engineering Technologists and Technicians, Except Drafters, All Other"
,Engineers
,"Engineers, All Other"
,Environmental Engineering Technologists and Technicians
,Environmental Engineers
,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
,Industrial Engineering Technologists and Technicians
,Industrial Engineers
,"Industrial Engineers, Including Health and Safety"
,Locomotive Engineers
,Locomotive Engineers and Operators
,Marine Engineers and Naval Architects
,Materials Engineers
,Mechanical Engineering Technologists and Technicians
,Mechanical Engineers
,"Mining and Geological Engineers, Including Mining Safety Engineers"
,Miscellaneous Engineers
,Nuclear Engineers
,Operating Engineers and Other Construction Equipment Operators
,Petroleum Engineers
,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
,Sales Engineers
,Ship Engineers
,Sound Engineering Technicians
,Stationary Engineers and Boiler Operators
Lawyer,Lawyers
,Lawyers and Judicial Law Clerks
,"Lawyers, Judges, and Related Workers"
Manager,Administrative Services and Facilities Managers
,Administrative Services Managers
,Advertising and Promotions Managers
,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
,"Agents and Business Managers of Artists, Performers, and Athletes"
,Architectural and Engineering Managers
,Compensation and Benefits Managers
,Computer and Information Systems Managers
,Construction Managers
,Entertainment and Recreation Managers
,"Entertainment and Recreation Managers, Except Gambling"
,Facilities Managers
,"Farmers, Ranchers, and Other Agricultural Managers"
,Financial Managers
,Food Service Managers
,Fundraising Managers
,Funeral Home Managers
,Gambling Managers
,General and Operations Managers
,Human Resources Managers
,Industrial Production Managers
,Lodging Managers
,"Managers, All Other"
,Marketing and Sales Managers
,Marketing Managers
,Medical and Health Services Managers
,Miscellaneous Managers
,Natural Sciences Managers
,Operations Specialties Managers
,Personal Service Managers
,"Personal Service Managers, All Other"
,"Property, Real Estate, and Community Association Managers"
,Public Relations and Fundraising Managers
,Public Relations Managers
,Purchasing Managers
,Sales Managers
,Social and Community Service Managers
,Training and Development Managers
,"Transportation, Storage, and Distribution Managers"
Nurse,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
,Licensed Practical and Licensed Vocational Nurses
,Nurse Anesthetists
,Nurse Midwives
,Nurse Practitioners
,Registered Nurses
Sales Representative,"Miscellaneous Sales Representatives, Services"
,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel"
,"Sales Representatives, Services"
,"Sales Representatives, Wholesale and Manufacturing"
,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
Salesperson,Counter and Rental Clerks and Parts Salespersons
,Parts Salespersons
,Retail Salespersons
Scientist,Agricultural and Food Scientists
,Animal Scientists
,Anthropologists and Archeologists
,Astronomers and Physicists
,Atmospheric and Space Scientists
,
,Biochemists and Biophysicists
,Biological Scientists
,"Biological Scientists, All Other"
,Chemists and Materials Scientists
,Chemical Technicians
,Chemists
,Chemists and Materials Scientists
,Computer and Information Research Scientists
,Conservation Scientists
,Conservation Scientists and Foresters
,Data Scientists
,Environmental Scientists and Geoscientists
,"Environmental Scientists and Specialists, Including Health"
