Occupation_sleep,Corresponding Occupation_job
Accountant,Accountants and Auditors
Doctor,Anesthesiologists
Doctor,Cardiologists
Doctor,Chiropractors
Doctor,Dentists
Doctor,"Dentists, All Other Specialists"
Doctor,"Dentists, General"
Doctor,Dermatologists
Doctor,Emergency Medicine Physicians
Doctor,Exercise Physiologists
Doctor,Exercise Physiologists
Doctor,Neurologists
Doctor,Obstetricians and Gynecologists
Doctor,"Ophthalmologists, Except Pediatric"
Doctor,Optometrists
Doctor,Orthodontists
Doctor,"Orthopedic Surgeons, Except Pediatric"
Doctor,Orthotists and Prosthetists
Doctor,Pediatric Surgeons
Doctor,"Pediatricians, General"
Doctor,Pharmacists
Doctor,Physicians
Doctor,"Physicians, All Other"
Doctor,"Physicians, Pathologists"
Doctor,Psychiatrists
Doctor,Psychologists
Doctor,"Psychologists, All Other"
Doctor,Radiologists
Doctor,Surgeons
Doctor,"Surgeons, All Other"
Doctor,Veterinarians
Engineer,Aerospace Engineering and Operations Technologists and Technicians
Engineer,Aerospace Engineers
Engineer,Agricultural Engineers
Engineer,Aircraft Pilots and Flight Engineers
Engineer,"Airline Pilots, Copilots, and Flight Engineers"
Engineer,Architectural and Engineering Managers
Engineer,Architecture and Engineering Occupations
Engineer,Bioengineers and Biomedical Engineers
Engineer,Chemical Engineers
Engineer,Civil Engineering Technologists and Technicians
Engineer,Civil Engineers
Engineer,Computer Hardware Engineers
Engineer,"Drafters, Engineering Technicians, and Mapping Technicians"
Engineer,Electrical and Electronic Engineering Technologists and Technicians
Engineer,Electrical and Electronics Engineers
Engineer,Electrical Engineers
Engineer,"Electronics Engineers, Except Computer"
Engineer,"Engineering and Architecture Teachers, Postsecondary"
Engineer,"Engineering Teachers, Postsecondary"
Engineer,"Engineering Technologists and Technicians, Except Drafters"
Engineer,"Engineering Technologists and Technicians, Except Drafters, All Other"
Engineer,Engineers
Engineer,"Engineers, All Other"
Engineer,Environmental Engineering Technologists and Technicians
Engineer,Environmental Engineers
Engineer,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
Engineer,Industrial Engineering Technologists and Technicians
Engineer,Industrial Engineers
Engineer,"Industrial Engineers, Including Health and Safety"
Engineer,Locomotive Engineers
Engineer,Locomotive Engineers and Operators
Engineer,Marine Engineers and Naval Architects
Engineer,Materials Engineers
Engineer,Mechanical Engineering Technologists and Technicians
