national_M2022_dl
AREA,PRIM_STATE,OCC_Title,Level,Employment,Emp_RSE%,Per1000Jobs,Median_Hourly,Mean_Hourly,Mean_Annual,Mean_RSE%
99,US,Accountants and Auditors,broad,"1,402,420",0.5,,37.50,41.70,"86,740",0.4
99,US,Accountants and Auditors,detailed,"1,402,420",0.5,,37.50,41.70,"86,740",0.4
99,US,Actors,detailed,"54,160",7.2,,17.94,36.06,*,4.0
99,US,"Actors, Producers, and Directors",broad,"207,920",4.0,,36.27,48.74,"101,370",1.6
99,US,Actuaries,broad,"25,010",4.3,,54.80,61.34,"127,580",0.9
99,US,Actuaries,detailed,"25,010",4.3,,54.80,61.34,"127,580",0.9
99,US,Acupuncturists,detailed,"7,800",6.3,,34.72,39.61,"82,390",3.6
99,US,Adhesive Bonding Machine Operators and Tenders,detailed,"11,320",3.3,,18.65,19.28,"40,100",1.1
99,US,"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed,"12,490",0.4,,45.67,46.75,"97,250",0.8
99,US,Administrative Services and Facilities Managers,broad,"353,550",1.5,,48.98,54.06,"112,440",0.3
99,US,Administrative Services Managers,detailed,"236,570",2.1,,49.68,55.59,"115,640",0.4
99,US,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",broad,"36,490",2.4,,28.17,30.35,"63,130",0.9
99,US,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",detailed,"36,490",2.4,,28.17,30.35,"63,130",0.9
99,US,Advertising and Promotions Managers,broad,"22,010",3.1,,61.46,70.70,"147,050",2.2
99,US,Advertising and Promotions Managers,detailed,"22,010",3.1,,61.46,70.70,"147,050",2.2
99,US,Advertising Sales Agents,broad,"106,560",1.9,,28.10,35.22,"73,260",1.4
99,US,Advertising Sales Agents,detailed,"106,560",1.9,,28.10,35.22,"73,260",1.4
99,US,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,"977,490",2.0,,63.86,73.23,"152,320",0.4
99,US,Aerospace Engineering and Operations Technologists and Technicians,detailed,"9,750",5.4,,35.78,37.05,"77,060",1.9
99,US,Aerospace Engineers,broad,"61,580",1.7,,61.00,61.10,"127,090",0.6
99,US,Aerospace Engineers,detailed,"61,580",1.7,,61.00,61.10,"127,090",0.6
99,US,"Agents and Business Managers of Artists, Performers, and Athletes",broad,"13,130",5.0,,39.68,57.74,"120,100",4.1
99,US,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,"13,130",5.0,,39.68,57.74,"120,100",4.1
99,US,Agricultural and Food Science Technicians,broad,"27,490",3.0,,22.18,23.37,"48,610",1.2
99,US,Agricultural and Food Scientists,broad,"33,250",3.9,,36.03,39.06,"81,250",5.6
99,US,Agricultural Engineers,broad,"1,500",14.2,,40.03,43.61,"90,710",1.3
99,US,Agricultural Engineers,detailed,"1,500",14.2,,40.03,43.61,"90,710",1.3
99,US,Agricultural Equipment Operators,detailed,"28,830",4.2,,18.16,19.11,"39,750",1.2
99,US,Agricultural Inspectors,broad,"14,000",3.0,,21.50,23.57,"49,020",0.9
99,US,Agricultural Inspectors,detailed,"14,000",3.0,,21.50,23.57,"49,020",0.9
99,US,"Agricultural Sciences Teachers, Postsecondary",detailed,"8,240",2.1,,*,*,"96,650",0.8
99,US,Agricultural Technicians,detailed,"13,140",5.9,,20.08,21.94,"45,640",1.2
99,US,Agricultural Workers,minor,"390,500",1.0,,16.06,17.04,"35,440",1.2
99,US,"Agricultural Workers, All Other",detailed,"6,100",7.3,,17.17,18.84,"39,180",2.3
99,US,Air Traffic Controllers,detailed,"21,250",0.9,,63.58,62.90,"130,840",0.4
99,US,Air Traffic Controllers and Airfield Operations Specialists,broad,"36,010",1.3,,45.53,49.74,"103,460",0.7
99,US,Air Transportation Workers,minor,"282,820",0.7,,*,*,"131,630",1.5
99,US,Aircraft Cargo Handling Supervisors,detailed,"7,950",2.8,,25.72,29.40,"61,150",0.8
99,US,Aircraft Mechanics and Service Technicians,broad,"134,070",1.5,,33.66,34.92,"72,640",0.4
99,US,Aircraft Mechanics and Service Technicians,detailed,"134,070",1.5,,33.66,34.92,"72,640",0.4
99,US,Aircraft Pilots and Flight Engineers,broad,"138,330",1.0,,*,*,"189,620",2.0
99,US,Aircraft Service Attendants,detailed,"19,720",4.0,,17.81,18.94,"39,400",0.8
99,US,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",broad,"32,140",2.7,,28.09,28.90,"60,110",0.8
99,US,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",detailed,"32,140",2.7,,28.09,28.90,"60,110",0.8
99,US,Airfield Operations Specialists,detailed,"14,760",2.9,,23.85,30.79,"64,050",1.2
99,US,"Airline Pilots, Copilots, and Flight Engineers",detailed,"89,580",0.9,,*,*,"225,740",2.7
99,US,All Occupations,total,"147,886,000",0,,22.26,29.76,"61,900",0.2
99,US,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",broad,"9,910",3.4,,14.61,16.14,"33,570",2.3
99,US,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",detailed,"9,910",3.4,,14.61,16.14,"33,570",2.3
99,US,Amusement and Recreation Attendants,detailed,"324,580",1.4,,13.36,13.63,"28,350",0.6
99,US,Anesthesiologists,detailed,"37,430",7.6,,#,145.66,"302,970",3.5
99,US,Animal Breeders,broad,"1,270",11.3,,21.79,23.39,"48,650",2.8
99,US,Animal Breeders,detailed,"1,270",11.3,,21.79,23.39,"48,650",2.8
99,US,Animal Care and Service Workers,minor,"274,380",2.6,,14.32,15.76,"32,780",0.5
99,US,Animal Caretakers,broad,"256,670",2.7,,14.20,15.46,"32,160",0.6
99,US,Animal Caretakers,detailed,"256,670",2.7,,14.20,15.46,"32,160",0.6
99,US,Animal Control Workers,broad,"11,490",1.4,,18.90,21.05,"43,780",0.9
99,US,Animal Control Workers,detailed,"11,490",1.4,,18.90,21.05,"43,780",0.9
99,US,Animal Scientists,detailed,"2,520",8.2,,33.36,41.28,"85,870",3.9
99,US,Animal Trainers,broad,"17,710",3.6,,17.13,20.11,"41,820",2.6
99,US,Animal Trainers,detailed,"17,710",3.6,,17.13,20.11,"41,820",2.6
