Occupation code,Occupation title (click on the occupation title to view its profile),Level,Employment,Employment RSE,"Employment per 1,000 jobs",Median hourly wage,Mean hourly wage,Annual mean wage,Mean wage RSE
00-0000,All Occupations,total,"147,886,000",0.00%,1000,$22.26 ,$29.76 ,"$61,900 ",0.20%
11-0000,Management Occupations,major,"9,860,740",0.60%,66.678,$51.62 ,$63.08 ,"$131,200 ",0.60%
11-1000,Top Executives,minor,"3,618,820",0.30%,24.47,$48.02 ,$62.04 ,"$129,050 ",1.10%
11-1011,Chief Executives,detail,"199,240",0.90%,1.347,$91.12 ,$118.48 ,"$246,440 ",1.60%
11-1021,General and Operations Managers,detail,"3,376,680",0.30%,22.833,$47.16 ,$59.07 ,"$122,860 ",1.10%
11-1031,Legislators,detail,"42,890",2.10%,0.29,-4,-4,"$71,100 ",1.70%
Nov-00,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,"977,490",2.00%,6.61,$63.86 ,$73.23 ,"$152,320 ",0.40%
Nov-11,Advertising and Promotions Managers,detail,"22,010",3.10%,0.149,$61.46 ,$70.70 ,"$147,050 ",2.20%
Nov-20,Marketing and Sales Managers,broad,"864,970",2.10%,5.849,$64.37 ,$73.79 ,"$153,470 ",0.40%
Nov-21,Marketing Managers,detail,"328,570",1.10%,2.222,$67.33 ,$76.10 ,"$158,280 ",0.60%
Nov-22,Sales Managers,detail,"536,390",2.80%,3.627,$62.79 ,$72.37 ,"$150,530 ",0.40%
Nov-30,Public Relations and Fundraising Managers,broad,"90,510",1.50%,0.612,$60.40 ,$68.56 ,"$142,610 ",0.70%
Nov-32,Public Relations Managers,detail,"64,280",1.40%,0.435,$62.23 ,$72.13 ,"$150,030 ",0.80%
Nov-33,Fundraising Managers,detail,"26,240",2.70%,0.177,$51.63 ,$59.83 ,"$124,450 ",1.30%
Nov-00,Operations Specialties Managers,minor,"2,322,010",1.20%,15.701,$62.96 ,$71.25 ,"$148,190 ",0.40%
Nov-10,Administrative Services and Facilities Managers,broad,"353,550",1.50%,2.391,$48.98 ,$54.06 ,"$112,440 ",0.30%
Nov-12,Administrative Services Managers,detail,"236,570",2.10%,1.6,$49.68 ,$55.59 ,"$115,640 ",0.40%
Nov-13,Facilities Managers,detail,"116,980",0.60%,0.791,$47.61 ,$50.95 ,"$105,970 ",0.40%
Nov-21,Computer and Information Systems Managers,detail,"533,220",1.20%,3.606,$78.88 ,$83.49 ,"$173,670 ",0.40%
Nov-31,Financial Managers,detail,"740,780",1.20%,5.009,$67.21 ,$79.83 ,"$166,050 ",0.50%
Nov-51,Industrial Production Managers,detail,"211,710",0.60%,1.432,$51.71 ,$58.13 ,"$120,900 ",0.40%
Nov-61,Purchasing Managers,detail,"75,070",1.40%,0.508,$63.15 ,$67.62 ,"$140,650 ",0.40%
Nov-71,"Transportation, Storage, and Distribution Managers",detail,"169,910",1.10%,1.149,$47.39 ,$52.36 ,"$108,910 ",0.50%
Nov-11,Compensation and Benefits Managers,detail,"16,850",2.20%,0.114,$63.11 ,$68.82 ,"$143,140 ",0.70%
Nov-21,Human Resources Managers,detail,"181,360",1.70%,1.226,$62.50 ,$70.07 ,"$145,750 ",0.40%
Nov-31,Training and Development Managers,detail,"39,550",1.00%,0.267,$57.69 ,$63.51 ,"$132,100 ",0.80%
Nov-00,Other Management Occupations,minor,"2,942,420",0.60%,19.897,$47.95 ,$54.53 ,"$113,420 ",0.30%
Nov-13,"Farmers, Ranchers, and Other Agricultural Managers",detail,"6,250",4.00%,0.042,$36.42 ,$40.29 ,"$83,790 ",2.50%
Nov-21,Construction Managers,detail,"303,220",1.90%,2.05,$48.79 ,$54.22 ,"$112,790 ",0.60%
Nov-30,Education and Childcare Administrators,broad,"563,170",0.40%,3.808,$47.08 ,$49.70 ,"$103,370 ",0.40%
Nov-31,"Education and Childcare Administrators, Preschool and Daycare",detail,"60,010",2.30%,0.406,$23.89 ,$27.70 ,"$57,610 ",1.70%
Nov-32,"Education Administrators, Kindergarten through Secondary",detail,"285,910",0.50%,1.933,-4,-4,"$106,690 ",0.50%
Nov-33,"Education Administrators, Postsecondary",detail,"167,060",0.20%,1.13,$48.05 ,$55.38 ,"$115,180 ",0.40%
Nov-39,"Education Administrators, All Other",detail,"50,180",1.30%,0.339,$42.85 ,$47.99 ,"$99,820 ",0.70%
Nov-41,Architectural and Engineering Managers,detail,"197,180",1.30%,1.333,$76.88 ,$78.52 ,"$163,310 ",0.30%
Nov-51,Food Service Managers,detail,"231,100",1.60%,1.563,$29.48 ,$32.27 ,"$67,130 ",0.80%
Nov-70,Entertainment and Recreation Managers,broad,"27,750",2.10%,0.188,$34.34 ,$39.68 ,"$82,530 ",1.70%
Nov-71,Gambling Managers,detail,"4,800",2.20%,0.032,$38.80 ,$46.07 ,"$95,830 ",1.10%
Nov-72,"Entertainment and Recreation Managers, Except Gambling",detail,"22,950",2.70%,0.155,$32.32 ,$38.34 ,"$79,750 ",1.80%
Nov-81,Lodging Managers,detail,"39,870",2.10%,0.27,$29.76 ,$35.21 ,"$73,230 ",1.70%
Nov-11,Medical and Health Services Managers,detail,"476,750",0.40%,3.224,$50.40 ,$61.53 ,"$127,980 ",0.40%
Nov-21,Natural Sciences Managers,detail,"82,570",1.40%,0.558,$69.44 ,$78.66 ,"$163,610 ",1.60%
Nov-31,Postmasters and Mail Superintendents,detail,"13,460",0.00%,0.091,$39.79 ,$40.48 ,"$84,190 ",0.00%
Nov-41,"Property, Real Estate, and Community Association Managers",detail,"261,120",1.30%,1.766,$29.17 ,$36.59 ,"$76,110 ",1.30%
Nov-51,Social and Community Service Managers,detail,"162,880",1.20%,1.101,$35.69 ,$38.13 ,"$79,310 ",0.60%
Nov-61,Emergency Management Directors,detail,"11,290",1.50%,0.076,$38.07 ,$42.74 ,"$88,890 ",0.70%
Nov-70,Personal Service Managers,broad,"22,520",3.00%,0.152,$29.86 ,$36.18 ,"$75,250 ",1.60%
Nov-71,Funeral Home Managers,detail,"13,680",3.30%,0.093,$34.67 ,$40.76 ,"$84,770 ",1.50%
Nov-79,"Personal Service Managers, All Other",detail,"8,840",9.40%,0.06,$26.97 ,$29.09 ,"$60,510 ",2.70%
Nov-99,"Managers, All Other",detail,"543,290",1.00%,3.674,$61.84 ,$67.88 ,"$141,190 ",0.50%
13-0000,Business and Financial Operations Occupations,major,"9,677,720",0.70%,65.44,$36.95 ,$41.39 ,"$86,080 ",0.30%
13-1000,Business Operations Specialists,minor,"6,660,810",0.70%,45.04,$36.56 ,$40.04 ,"$83,280 ",0.20%
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detail,"13,130",5.00%,0.089,$39.68 ,$57.74 ,"$120,100 ",4.10%
13-1020,Buyers and Purchasing Agents,broad,"464,880",1.30%,3.144,$32.51 ,$36.13 ,"$75,140 ",0.30%
13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",broad,"296,700",1.00%,2.006,$34.63 ,$35.25 ,"$73,320 ",0.30%
13-1031,"Claims Adjusters, Examiners, and Investigators",detail,"285,270",1.00%,1.929,$34.73 ,$35.28 ,"$73,380 ",0.30%
13-1032,"Insurance Appraisers, Auto Damage",detail,"11,430",5.20%,0.077,$33.36 ,$34.42 ,"$71,580 ",0.70%
13-1041,Compliance Officers,detail,"359,640",1.60%,2.432,$34.47 ,$37.01 ,"$76,980 ",0.70%
13-1051,Cost Estimators,detail,"225,310",1.00%,1.524,$34.23 ,$36.89 ,"$76,740 ",0.50%
13-1070,Human Resources Workers,broad,"898,110",1.00%,6.073,$31.25 ,$35.61 ,"$74,060 ",0.40%
13-1071,Human Resources Specialists,detail,"835,360",1.20%,5.649,$30.88 ,$35.13 ,"$73,080 ",0.40%
13-1074,Farm Labor Contractors,detail,550,15.40%,0.004,$23.72 ,$26.26 ,"$54,630 ",6.60%
13-1075,Labor Relations Specialists,detail,"62,200",1.80%,0.421,$39.43 ,$42.05 ,"$87,470 ",0.80%
